Order_Id,User_Id,Ordered_Date
1,63,8/25/2020
2,67,9/27/2019
3,143,3/14/2020
4,9,5/16/2020
5,141,6/14/2020
6,20,9/26/2019
7,82,6/28/2020
8,13,6/12/2020
9,122,2/29/2020
10,100,6/1/2020
11,112,9/24/2019
12,126,5/1/2020
13,94,2/22/2020
14,91,12/15/2019
15,36,2/6/2020
16,100,7/20/2020
17,39,12/9/2019
18,111,11/20/2019
19,28,10/7/2019
20,26,10/13/2019
21,136,5/5/2020
22,34,11/21/2019
23,122,10/22/2019
24,6,7/21/2020
25,107,4/8/2020
26,117,1/28/2020
27,43,6/19/2020
28,47,10/17/2019
29,61,8/23/2020
30,64,10/9/2019
31,44,9/12/2020
32,59,8/13/2020
33,83,8/11/2020
34,135,5/7/2020
35,80,4/4/2020
36,76,7/29/2020
37,99,3/17/2020
38,35,3/22/2020
39,145,3/27/2020
40,136,11/27/2019
41,106,3/4/2020
42,119,11/1/2019
43,32,7/16/2020
44,80,1/3/2020
45,132,6/19/2020
46,133,8/21/2020
47,78,4/28/2020
48,79,3/14/2020
49,1,1/20/2020
50,93,4/15/2020
51,17,2/21/2020
52,11,12/30/2019
53,2,4/30/2020
54,41,9/15/2020
55,51,2/15/2020
56,7,10/31/2019
57,17,9/26/2019
58,82,4/10/2020
59,40,11/18/2019
60,76,9/8/2020
61,44,4/16/2020
62,106,2/25/2020
63,31,3/5/2020
64,70,1/27/2020
65,135,7/13/2020
66,59,12/15/2019
67,99,1/16/2020
68,111,10/14/2019
69,120,9/23/2019
70,70,7/23/2020
71,44,6/28/2020
72,19,9/15/2020
73,84,2/5/2020
74,6,4/21/2020
75,78,10/12/2019
76,55,9/2/2020
77,96,3/18/2020
78,24,1/10/2020
79,68,3/1/2020
80,44,2/14/2020
81,121,6/2/2020
82,28,8/29/2020
83,15,2/18/2020
84,118,8/3/2020
85,131,1/27/2020
86,134,12/1/2019
87,38,10/28/2019
88,47,11/9/2019
89,90,11/13/2019
90,17,2/11/2020
91,113,2/9/2020
92,70,3/2/2020
93,130,4/27/2020
94,81,2/9/2020
95,99,6/9/2020
96,73,1/7/2020
97,43,8/5/2020
98,119,11/4/2019
99,91,2/3/2020
100,24,7/3/2020
101,106,3/11/2020
102,86,12/13/2019
103,6,9/14/2020
104,28,1/25/2020
105,38,1/30/2020
106,53,10/29/2019
107,121,7/28/2020
108,32,5/28/2020
109,133,8/2/2020
110,79,11/23/2019
111,11,8/15/2020
112,45,2/5/2020
113,94,10/23/2019
114,52,6/20/2020
115,49,11/4/2019
116,137,5/9/2020
117,97,1/15/2020
118,120,10/30/2019
119,137,9/12/2020
120,42,4/27/2020
121,29,8/6/2020
122,27,8/18/2020
123,66,6/25/2020
124,50,7/10/2020
125,145,12/1/2019
126,63,8/15/2020
127,63,3/22/2020
128,51,6/28/2020
129,122,5/14/2020
130,57,4/24/2020
131,138,2/2/2020
132,64,8/11/2020
133,28,12/8/2019
134,91,5/23/2020
135,65,10/9/2019
136,118,9/19/2019
137,63,1/12/2020
138,8,9/15/2020
139,8,1/23/2020
140,47,3/3/2020
141,9,9/16/2019
142,138,2/17/2020
143,59,12/20/2019
144,55,11/20/2019
145,81,11/6/2019
146,129,5/28/2020
147,126,2/26/2020
148,9,4/2/2020
149,98,9/4/2020
150,4,6/2/2020
151,22,2/25/2020
152,69,1/7/2020
153,125,7/30/2020
154,35,6/7/2020
155,133,1/31/2020
156,118,9/8/2020
157,29,9/28/2019
158,9,8/23/2020
159,133,3/19/2020
160,133,5/4/2020
161,92,1/23/2020
162,125,6/9/2020
163,36,3/11/2020
164,18,2/26/2020
165,66,2/8/2020
166,17,11/6/2019
167,108,1/19/2020
168,6,3/14/2020
169,108,11/28/2019
170,113,11/6/2019
171,18,5/30/2020
172,64,4/3/2020
173,10,5/23/2020
174,7,10/2/2019
175,22,11/28/2019
176,65,4/21/2020
177,105,6/27/2020
178,131,12/25/2019
179,25,12/26/2019
180,58,9/23/2019
181,68,11/8/2019
182,137,2/16/2020
183,36,9/24/2019
184,126,12/15/2019
185,8,9/9/2020
186,111,2/11/2020
187,31,7/11/2020
188,20,7/17/2020
189,21,5/27/2020
190,25,3/23/2020
191,11,10/5/2019
192,38,8/28/2020
193,81,12/12/2019
194,19,11/11/2019
195,110,4/4/2020
196,15,5/15/2020
197,83,7/10/2020
198,117,3/10/2020
199,148,9/23/2019
200,83,4/25/2020
201,102,6/17/2020
202,99,3/11/2020
203,47,10/29/2019
204,35,7/9/2020
205,99,3/4/2020
206,77,2/28/2020
207,103,2/22/2020
208,66,1/21/2020
209,103,4/13/2020
210,100,4/13/2020
211,136,7/3/2020
212,3,11/17/2019
213,47,2/15/2020
214,124,12/9/2019
215,28,8/27/2020
216,90,1/27/2020
217,90,9/22/2019
218,65,4/19/2020
219,55,5/15/2020
220,119,3/7/2020
221,136,10/13/2019
222,44,3/27/2020
223,45,7/29/2020
224,143,4/17/2020
225,8,8/20/2020
226,137,12/20/2019
227,30,3/21/2020
228,130,2/17/2020
229,83,5/5/2020
230,39,5/1/2020
231,7,4/4/2020
232,17,3/10/2020
233,88,9/15/2020
234,88,7/7/2020
235,139,6/18/2020
236,109,5/12/2020
237,88,10/13/2019
238,17,8/7/2020
239,49,12/23/2019
240,146,10/20/2019
241,50,12/20/2019
242,55,8/9/2020
243,145,6/4/2020
244,137,2/15/2020
245,19,11/5/2019
246,106,2/22/2020
247,49,1/10/2020
248,99,1/5/2020
249,122,1/21/2020
250,16,8/22/2020
251,104,10/5/2019
252,119,10/1/2019
253,21,2/7/2020
254,83,9/19/2019
255,42,3/15/2020
256,116,12/17/2019
257,70,6/4/2020
258,84,7/23/2020
259,107,7/5/2020
260,92,12/19/2019
261,109,10/10/2019
262,66,3/12/2020
263,144,3/10/2020
264,82,8/18/2020
265,38,11/16/2019
266,117,1/14/2020
267,22,7/3/2020
268,29,6/6/2020
269,14,10/21/2019
270,60,5/2/2020
271,24,8/26/2020
272,75,3/29/2020
273,148,3/31/2020
274,81,2/22/2020
275,135,8/24/2020
276,38,10/30/2019
277,6,11/8/2019
278,128,10/25/2019
279,106,5/30/2020
280,75,5/2/2020
281,12,7/13/2020
282,40,1/2/2020
283,70,2/10/2020
284,71,9/5/2020
285,78,5/25/2020
286,135,2/18/2020
287,5,4/12/2020
288,24,8/25/2020
289,51,2/4/2020
290,73,11/4/2019
291,42,2/23/2020
292,80,5/19/2020
293,88,2/26/2020
294,71,1/19/2020
295,87,3/5/2020
296,139,4/11/2020
297,42,12/9/2019
298,10,4/1/2020
299,114,10/16/2019
300,77,9/27/2019
301,53,5/28/2020
302,72,7/19/2020
303,100,8/25/2020
304,7,7/7/2020
305,62,9/10/2020
306,146,11/30/2019
307,1,2/2/2020
308,36,8/11/2020
309,15,11/10/2019
310,49,1/31/2020
311,24,8/12/2020
312,91,10/5/2019
313,55,7/17/2020
314,102,5/5/2020
315,17,3/9/2020
316,127,10/26/2019
317,13,4/8/2020
318,93,8/5/2020
319,146,12/1/2019
320,93,5/8/2020
321,84,1/4/2020
322,79,4/9/2020
323,106,4/1/2020
324,120,3/3/2020
325,63,4/30/2020
326,116,1/19/2020
327,79,12/26/2019
328,83,5/17/2020
329,96,12/20/2019
330,103,7/27/2020
331,66,4/8/2020
332,109,6/14/2020
333,104,12/8/2019
334,66,8/12/2020
335,110,3/13/2020
336,115,4/6/2020
337,98,6/25/2020
338,65,6/18/2020
339,90,1/9/2020
340,122,2/11/2020
341,82,7/14/2020
342,17,8/31/2020
343,120,8/21/2020
344,136,12/28/2019
345,72,6/15/2020
346,50,8/5/2020
347,21,10/6/2019
348,137,10/25/2019
349,71,1/14/2020
350,97,6/16/2020
351,129,7/17/2020
352,75,6/2/2020
353,29,4/5/2020
354,110,8/30/2020
355,86,11/14/2019
356,94,5/26/2020
357,117,7/27/2020
358,133,11/11/2019
359,139,6/23/2020
360,59,8/12/2020
361,47,11/11/2019
362,103,12/2/2019
363,10,1/11/2020
364,140,12/31/2019
365,93,7/20/2020
366,125,7/5/2020
367,90,8/23/2020
368,14,8/20/2020
369,123,10/22/2019
370,65,6/20/2020
371,5,8/26/2020
372,110,7/16/2020
373,110,7/17/2020
374,56,7/21/2020
375,69,4/21/2020
376,109,5/13/2020
377,105,5/3/2020
378,73,8/13/2020
379,49,12/26/2019
380,50,8/21/2020
381,112,8/8/2020
382,62,4/9/2020
383,109,8/21/2020
384,8,9/22/2019
385,39,5/18/2020
386,136,2/25/2020
387,80,11/16/2019
388,105,10/20/2019
389,147,10/21/2019
390,57,5/10/2020
391,128,4/24/2020
392,114,11/26/2019
393,88,6/6/2020
394,84,11/30/2019
395,40,5/17/2020
396,9,5/19/2020
397,4,8/13/2020
398,63,5/16/2020
399,16,12/28/2019
400,131,7/21/2020
401,57,6/3/2020
402,147,3/18/2020
403,61,1/16/2020
404,44,11/29/2019
405,23,11/20/2019
406,60,10/20/2019
407,120,4/7/2020
408,121,2/22/2020
409,57,8/14/2020
410,124,2/20/2020
411,2,4/26/2020
412,9,9/21/2019
413,33,9/20/2019
414,81,6/7/2020
415,75,1/10/2020
416,114,8/25/2020
417,96,5/5/2020
418,140,10/26/2019
419,10,3/1/2020
420,68,6/19/2020
421,18,11/27/2019
422,6,4/19/2020
423,6,8/2/2020
424,68,1/4/2020
425,90,7/29/2020
426,133,9/27/2019
427,140,9/4/2020
428,142,10/8/2019
429,19,11/23/2019
430,63,12/24/2019
431,87,7/15/2020
432,10,8/18/2020
433,133,1/28/2020
434,92,7/25/2020
435,15,12/11/2019
436,77,6/26/2020
437,103,4/24/2020
438,34,11/12/2019
439,64,10/9/2019
440,18,4/3/2020
441,39,12/23/2019
442,27,12/9/2019
443,104,2/12/2020
444,137,11/23/2019
445,60,6/19/2020
446,132,1/27/2020
447,40,6/11/2020
448,128,11/1/2019
449,133,4/29/2020
450,43,9/24/2019
451,97,10/20/2019
452,5,12/28/2019
453,10,6/15/2020
454,42,8/12/2020
