order_id,order_date,status,quantity,price,discount,delivery_date,product_id,user_id
1,5/14/2020,In progress,50,523.83,68.69,5/6/2020,34,43
2,6/25/2020,In progress,94,840.61,12.51,3/28/2020,18,83
3,6/11/2020,Shipped,82,462.27,79.97,8/9/2020,26,47
4,2/18/2020,Delivered,97,208.98,46.68,8/9/2020,36,101
5,8/28/2020,Shipped,59,561.27,25.48,5/26/2020,27,117
6,8/9/2020,Shipped,21,98.63,45.24,6/19/2020,31,69
7,7/27/2020,In progress,96,677.52,51.92,5/17/2020,21,19
8,12/12/2019,Delivered,100,196.65,69.26,2/22/2020,35,58
9,3/3/2020,In progress,20,304.9,50.48,8/18/2020,20,37
10,5/30/2020,Delivered,24,764.98,2.83,12/25/2019,24,84
11,7/17/2020,Shipped,98,133.13,22.03,12/8/2019,27,102
12,1/23/2020,Shipped,30,555.99,72.99,4/11/2020,9,105
13,11/10/2019,In progress,98,63.45,54.96,9/11/2020,15,117
14,4/7/2020,Shipped,10,722.8,2.15,7/4/2020,25,126
15,11/26/2019,In progress,61,117.03,24.75,11/2/2019,3,46
16,6/14/2020,Delivered,19,411.27,52.52,11/4/2019,34,52
17,9/17/2020,In progress,61,629.71,67.88,5/21/2020,14,128
18,8/20/2020,In progress,76,633.36,3.81,6/29/2020,6,46
19,5/22/2020,Shipped,46,964.88,77.94,3/8/2020,5,29
20,6/22/2020,Delivered,39,237.31,33.87,9/7/2020,19,112
21,11/21/2019,Delivered,34,554.59,27.24,3/24/2020,12,143
22,9/4/2020,In progress,43,649.74,36.8,3/18/2020,36,53
23,9/23/2020,Delivered,23,128.8,70.77,1/10/2020,22,38
24,1/5/2020,Delivered,67,404.47,50.51,2/17/2020,14,65
25,8/21/2020,Shipped,56,325.39,25.07,2/29/2020,26,141
26,3/12/2020,Shipped,45,820.29,72.36,8/16/2020,34,114
27,11/23/2019,In progress,93,296.7,16.6,12/16/2019,9,45
28,3/6/2020,Shipped,2,424.63,58.17,12/29/2019,33,63
29,2/7/2020,Shipped,91,640.45,60.6,1/7/2020,34,116
30,7/22/2020,Shipped,99,810.27,32.85,1/22/2020,12,15
31,7/11/2020,Delivered,44,764.21,30.27,11/18/2019,10,135
32,7/22/2020,In progress,43,69.83,15.52,10/31/2019,11,128
33,10/31/2019,In progress,67,456.53,1.18,12/30/2019,7,100
34,5/25/2020,In progress,17,404.39,65.23,6/6/2020,35,63
35,3/13/2020,Shipped,88,642.87,69.05,1/10/2020,13,82
36,10/29/2019,In progress,94,794.29,16.2,6/16/2020,35,31
37,5/8/2020,Delivered,33,196.35,72.49,1/11/2020,22,150
38,1/20/2020,In progress,79,436.73,44.25,3/23/2020,15,68
39,4/7/2020,Shipped,38,278.62,31.27,10/20/2020,35,119
40,2/16/2020,Delivered,41,468.82,20.64,12/14/2019,1,100
41,8/13/2020,Shipped,42,90.05,21.39,1/19/2020,34,32
42,7/27/2020,In progress,35,783.3,18.36,6/17/2020,35,101
43,3/12/2020,Delivered,68,870.7,62.27,1/10/2020,21,129
44,11/21/2019,In progress,1,765.44,30.6,1/25/2020,33,112
45,6/1/2020,Shipped,27,328.33,18.31,7/13/2020,34,104
46,12/23/2019,Delivered,81,607.93,76.74,12/3/2019,21,17
47,6/29/2020,In progress,64,286.37,43.84,8/2/2020,17,27
48,9/11/2020,In progress,68,755.95,79.22,10/19/2020,36,22
49,7/6/2020,Delivered,85,391.31,22.92,8/15/2020,32,36
50,5/21/2020,Shipped,76,430.21,41.12,6/4/2020,26,41
51,2/18/2020,In progress,16,228.83,27.94,12/17/2019,24,36
