Id,Order_Id,Product_Id,Status,Quantity,Price($),Discount,Delivery_Date
1,67,1,Delivered,8,954,37,11/15/2019
2,482,17,Queued,11,91,25,7/16/2020
3,260,11,Queued,1,1163,11,10/8/2020
4,229,17,Queued,16,1484,27,9/21/2019
5,68,30,Shipped,2,565,38,9/21/2019
6,191,20,Ready to be shipped,14,1035,34,8/3/2020
7,242,17,Ready to be shipped,15,1625,9,6/19/2021
8,479,25,Queued,17,1889,39,4/14/2021
9,218,11,Delivered,2,393,24,1/26/2020
10,200,27,Ready to be shipped,7,272,16,1/25/2020
11,147,16,Ready to be shipped,17,454,1,1/21/2020
12,303,14,Ready to be shipped,4,1361,16,4/30/2020
13,353,10,Ready to be shipped,6,444,31,1/23/2021
14,185,1,Ready to be shipped,8,1022,30,12/27/2020
15,244,28,Ready to be shipped,11,1607,44,2/18/2021
16,91,3,Queued,10,612,1,8/17/2020
17,293,12,Shipped,11,1294,32,4/23/2020
18,306,28,Delivered,20,643,11,11/19/2019
19,234,17,Queued,11,227,45,1/2/2020
20,15,29,Queued,8,491,16,9/2/2021
21,393,10,Shipped,13,1065,38,9/18/2019
22,18,11,Shipped,10,225,46,6/3/2021
23,54,26,Delivered,5,435,40,1/25/2021
24,36,11,Queued,8,39,15,5/14/2021
25,175,23,Delivered,10,1236,49,11/26/2020
26,219,19,Delivered,10,36,20,2/11/2021
27,78,8,Shipped,5,779,1,9/2/2020
28,73,25,Delivered,18,1694,11,3/30/2021
29,89,3,Queued,7,1747,10,11/25/2019
30,267,27,Shipped,12,623,33,2/28/2020
31,457,4,Shipped,3,1806,32,1/18/2021
32,153,14,Shipped,12,407,5,2/24/2021
33,335,27,Shipped,12,893,19,3/16/2021
34,259,9,Shipped,10,911,29,3/11/2020
35,489,27,Shipped,6,355,28,2/18/2021
36,456,7,Delivered,14,1694,0,10/21/2019
37,438,20,Delivered,12,1464,21,9/24/2020
38,446,27,Delivered,3,841,17,5/20/2021
39,210,30,Queued,20,424,43,4/27/2020
40,10,8,Shipped,13,1295,31,8/14/2021
41,79,20,Shipped,14,1421,20,4/18/2020
42,6,2,Delivered,18,1017,12,4/26/2020
43,370,12,Delivered,14,290,12,10/4/2020
44,25,22,Delivered,1,1462,47,8/12/2021
45,231,8,Delivered,9,640,4,2/15/2020
