supplier_id,type,manufacturing_country,name,contact_number
1,Individual,China,Jetpulse,222-870-8697
2,Corporate,Japan,Yacero,910-233-8202
3,Corporate,Portugal,Oyope,261-465-7821
4,Corporate,China,Meetz,556-527-2132
5,Corporate,Japan,Vinte,282-878-1462
6,Individual,Poland,Riffpedia,381-945-9638
7,Corporate,China,Eare,256-490-8063
8,Individual,Indonesia,Twitterlist,647-688-1608
9,Corporate,Brazil,Rhybox,841-389-1455
10,Corporate,Norway,Quimba,344-340-4933
11,Corporate,Poland,Yakidoo,998-704-9658
12,Individual,Poland,Gigashots,360-851-7622
13,Corporate,China,Skinder,467-376-0688
14,Corporate,China,Realfire,176-259-4750
15,Individual,France,Yotz,897-168-5208
16,Individual,Ukraine,Skyvu,655-694-0240
17,Corporate,Nigeria,Muxo,959-366-8984
18,Corporate,China,Kanoodle,952-411-1446
19,Corporate,Sweden,Kimia,913-373-9491
20,Individual,Indonesia,Tagtune,873-729-4274
21,Corporate,Vietnam,Buzzster,209-500-0831
22,Corporate,China,Voonder,605-993-7013
23,Corporate,Indonesia,Ozu,534-350-2034
24,Individual,Sweden,Midel,250-684-2417
25,Individual,Brazil,Edgeclub,894-530-1407
26,Individual,Mauritius,Talane,177-790-3203
27,Corporate,Dominican Republic,Yabox,641-994-9161
28,Corporate,Taiwan,Demivee,674-497-3989
29,Corporate,Ukraine,Dynabox,967-726-7433
30,Corporate,Argentina,Aibox,367-698-3608
31,Corporate,New Caledonia,Flipstorm,373-745-5972
32,Corporate,Bangladesh,Zoonder,599-290-1969
33,Corporate,China,Jazzy,243-758-4344
34,Corporate,China,Youspan,239-294-1705
35,Individual,Japan,Wordtune,754-793-8083
36,Corporate,Bulgaria,Skidoo,622-999-8530
37,Individual,United States,Vidoo,419-145-2993
38,Individual,Croatia,Jaxbean,417-933-1784
39,Corporate,Brazil,Riffpath,341-947-8574
40,Individual,Democratic Republic of the Congo,Trudoo,825-474-8565
