Inventory_Id,Warehouse_Id,Product_Id,Quantity
1,16,3,3
2,20,2,41
3,3,25,31
4,14,14,25
5,9,29,7
6,5,5,19
7,17,11,12
8,4,28,33
9,22,1,15
10,2,7,28
11,21,17,50
12,6,9,24
13,17,9,36
14,21,3,24
15,18,15,29
16,5,4,9
17,14,23,26
18,3,19,50
19,2,6,34
20,13,8,50
21,14,10,39
22,21,16,27
23,20,11,36
24,4,24,44
25,25,10,25
26,14,5,31
27,13,3,12
28,15,3,50
29,24,4,10
30,23,6,13
31,21,14,33
32,24,25,12
33,16,22,15
34,18,11,15
35,9,7,10
36,3,13,19
37,19,17,11
38,13,13,50
39,16,5,31
40,1,7,24
41,7,27,21
42,6,18,33
43,9,7,1
44,10,10,11
45,2,25,49
46,1,18,27
47,17,15,27
48,22,3,49
49,18,18,43
50,2,17,11
51,10,30,21
52,21,25,8
53,14,29,40
54,23,1,13
55,7,10,25
56,7,7,32
57,23,24,28
58,11,14,13
59,9,22,5
60,11,7,14
61,3,19,44
62,22,9,4
63,6,4,47
64,16,22,7
65,13,24,15
66,5,30,4
67,7,8,31
68,20,2,17
69,12,27,23
70,4,14,20
71,4,4,33
72,18,13,5
73,20,28,10
74,21,27,35
75,8,20,33
76,12,27,45
77,19,4,28
78,20,29,43
79,2,18,38
80,4,22,20
81,3,12,31
82,16,14,48
83,19,19,34
84,24,22,11
85,24,8,39
86,12,3,40
87,5,24,50
88,13,14,45
89,4,5,23
90,22,28,20
91,21,13,25
92,16,3,28
93,6,9,26
94,17,15,43
95,12,26,37
96,23,29,38
97,3,4,24
98,19,7,46
99,23,11,30
100,24,4,20
101,7,29,3
102,19,19,48
103,10,1,24
104,14,29,42
105,6,29,22
106,17,21,45
107,24,22,20
108,21,22,50
109,1,9,11
110,25,21,21
111,4,20,31
112,7,14,14
113,12,19,29
114,16,18,38
115,25,13,2
116,13,18,32
117,3,9,1
118,24,1,14
119,19,17,16
120,10,8,24
121,22,11,9
122,22,20,31
123,16,29,8
124,10,10,32
125,1,22,15
126,8,23,23
127,4,18,23
128,1,10,16
129,3,10,24
130,15,10,3
131,5,3,17
132,19,14,34
133,16,9,26
134,19,18,35
135,2,16,40
136,6,21,8
137,9,15,26
138,10,23,27
139,15,9,47
140,15,24,24
141,24,11,38
142,14,9,17
143,21,2,23
144,13,12,35
145,11,22,4
146,8,16,35
147,14,19,3
148,12,14,41
149,8,26,25
150,1,22,31
151,2,23,44
152,8,22,49
153,20,11,43
154,10,22,18
155,20,28,44
156,7,27,47
157,15,17,26
158,11,29,33
159,4,13,37
160,23,11,48
161,6,14,27
162,18,24,15
163,6,11,40
164,8,8,41
165,10,21,38
166,18,15,47
167,10,30,16
168,21,12,4
169,6,23,25
170,24,28,38
171,20,15,41
172,2,4,47
173,19,22,2
174,18,5,3
175,17,19,44
176,2,12,9
177,8,17,45
178,13,11,4
179,13,7,11
180,15,20,28
181,13,13,23
182,12,22,42
183,25,6,14
184,13,26,19
185,12,12,42
186,9,19,7
187,10,12,36
188,17,22,27
189,23,23,12
190,24,25,50
191,12,23,29
192,23,4,48
193,17,14,28
194,25,24,36
195,9,21,20
196,18,6,50
197,3,28,48
198,23,29,39
199,8,9,14
200,17,23,5
