order_id,order_date,status,quantity,price,discount,delivery_date,product_id,user_id
1,2020-07-06T01:21:05Z,In progress,7,546.46,8.99,2020-08-06T18:43:05Z,31,48
2,2019-12-30T14:18:00Z,In progress,60,268.06,69.01,2020-04-13T12:10:54Z,28,35
3,2020-02-15T13:29:24Z,Delivered,38,716.0,64.36,2020-09-25T14:36:42Z,26,6
4,2020-04-25T22:49:29Z,Delivered,26,903.87,69.91,2020-01-31T01:18:06Z,26,11
5,2020-01-15T04:45:27Z,Delivered,17,273.5,18.66,2020-10-04T14:27:05Z,35,23
6,2020-04-16T18:27:31Z,Delivered,80,471.84,36.9,2020-06-13T12:44:40Z,17,31
7,2020-03-02T12:32:48Z,Shipped,90,800.31,70.69,2020-08-04T18:17:23Z,32,18
8,2020-06-22T10:28:11Z,Delivered,97,332.83,48.72,2020-06-22T00:30:48Z,19,34
9,2020-07-10T12:32:18Z,Delivered,38,935.23,6.22,2020-01-04T10:10:48Z,24,41
10,2019-12-01T14:24:41Z,Shipped,33,122.64,76.59,2020-03-12T06:41:52Z,23,45
11,2020-05-17T23:52:44Z,Delivered,80,592.34,16.67,2019-11-07T16:34:45Z,9,15
12,2019-11-23T12:11:08Z,Shipped,87,491.87,41.76,2020-03-11T04:19:24Z,11,11
13,2020-10-10T03:16:36Z,In progress,78,707.17,2.52,2020-01-03T15:54:36Z,34,24
14,2020-04-06T21:02:19Z,Delivered,67,793.09,16.38,2020-03-08T17:17:04Z,23,48
15,2020-09-05T05:38:06Z,In progress,76,703.88,66.22,2020-03-16T22:41:58Z,13,26
16,2019-10-28T22:33:09Z,Shipped,53,586.95,8.11,2020-04-27T08:31:11Z,14,21
17,2020-01-27T11:47:42Z,Delivered,86,831.11,56.93,2020-04-13T08:55:16Z,22,21
18,2020-04-27T18:56:10Z,In progress,43,593.64,74.81,2019-11-11T06:17:27Z,34,29
19,2020-08-01T08:38:47Z,Delivered,99,797.33,74.18,2019-11-19T19:28:41Z,30,1
20,2020-10-23T18:02:39Z,In progress,8,116.99,44.71,2020-10-27T19:41:50Z,22,26
21,2020-07-07T05:40:18Z,In progress,86,588.37,54.65,2020-06-04T11:02:29Z,27,23
22,2019-11-06T05:40:23Z,In progress,14,781.28,44.44,2020-05-06T00:15:04Z,26,46
23,2020-01-07T07:40:23Z,Shipped,16,451.99,35.35,2020-03-28T19:08:01Z,18,49
24,2020-05-20T16:41:40Z,In progress,57,273.03,28.01,2020-10-02T20:22:30Z,13,1
25,2020-08-07T03:50:02Z,In progress,18,750.87,1.62,2020-04-07T17:42:52Z,20,1
26,2019-11-22T20:24:03Z,Delivered,82,439.12,37.65,2020-04-01T00:30:33Z,5,48
27,2020-01-11T03:14:36Z,Delivered,66,776.92,78.6,2019-12-09T21:37:25Z,22,34
28,2020-01-26T06:38:07Z,Delivered,89,701.71,49.31,2020-03-16T05:27:36Z,30,26
29,2020-03-14T17:24:46Z,Shipped,63,949.6,54.72,2020-01-14T11:48:31Z,4,49
30,2020-07-25T22:39:47Z,Shipped,74,87.59,61.6,2020-07-27T04:02:46Z,30,12
31,2019-11-12T07:55:12Z,Shipped,55,931.16,52.94,2020-04-11T17:14:22Z,17,36
32,2020-09-11T23:35:45Z,In progress,91,498.02,41.81,2020-06-10T08:32:26Z,18,15
33,2020-09-03T05:38:31Z,In progress,32,835.65,52.08,2020-10-19T14:42:44Z,16,35
34,2020-06-17T08:51:29Z,Delivered,28,601.44,54.32,2020-08-11T16:14:06Z,5,25
35,2020-02-07T10:49:53Z,Delivered,92,695.88,52.23,2019-11-17T23:16:53Z,21,19
36,2020-08-25T05:08:07Z,Shipped,59,877.62,66.12,2020-01-01T00:25:01Z,30,43
37,2019-11-29T16:49:09Z,In progress,11,188.35,78.37,2019-11-15T01:28:42Z,9,18
38,2020-10-19T11:00:55Z,In progress,74,8.47,39.61,2020-09-25T09:47:54Z,14,9
39,2020-01-23T15:52:30Z,Shipped,3,399.05,1.47,2020-04-25T15:07:25Z,34,26
40,2020-07-06T07:59:51Z,Shipped,79,356.81,13.97,2020-09-17T13:00:11Z,3,49
41,2019-11-10T23:52:37Z,Shipped,58,486.67,39.33,2020-02-29T14:53:41Z,18,5
42,2020-01-13T03:04:16Z,Delivered,35,281.74,57.93,2019-11-04T06:11:20Z,21,36
43,2020-08-30T04:02:18Z,In progress,42,779.06,25.07,2019-11-21T11:24:46Z,26,33
44,2020-02-15T23:20:25Z,In progress,13,177.49,21.85,2020-02-06T15:56:18Z,13,21
45,2020-08-19T16:50:59Z,Shipped,81,319.42,10.16,2020-06-14T05:47:19Z,24,4
46,2020-02-16T11:14:55Z,Shipped,38,737.67,68.62,2020-10-08T18:59:14Z,22,37
47,2020-01-18T00:13:51Z,Shipped,67,860.01,60.53,2020-09-05T09:25:37Z,13,45
48,2019-11-12T08:30:02Z,Delivered,47,547.99,64.03,2019-11-06T00:58:47Z,13,8
49,2020-09-06T09:39:22Z,Shipped,73,341.45,69.74,2020-01-19T07:34:58Z,2,11
50,2019-11-25T02:22:04Z,Shipped,78,371.5,29.34,2020-07-12T15:07:48Z,28,23
51,2019-12-05T10:56:57Z,Shipped,58,15.88,5.83,2020-01-03T22:46:18Z,16,34
52,2019-11-13T01:21:00Z,Delivered,75,685.09,73.94,2020-02-02T15:46:42Z,24,39
53,2020-07-21T05:29:41Z,In progress,32,848.77,67.17,2019-11-24T03:50:32Z,4,48
54,2019-11-06T19:15:32Z,Shipped,75,57.94,29.75,2020-04-28T15:09:04Z,25,19
55,2020-10-13T10:47:55Z,In progress,25,587.78,65.13,2020-02-28T01:16:38Z,27,33
56,2020-03-26T17:40:26Z,Shipped,66,220.79,40.5,2020-04-05T19:20:46Z,19,33
57,2020-01-13T08:26:54Z,Shipped,63,83.83,76.59,2020-10-26T04:19:21Z,14,27
58,2020-01-30T22:02:55Z,In progress,99,770.02,19.93,2020-03-11T00:55:46Z,7,24
59,2020-02-25T03:09:18Z,In progress,38,690.71,1.67,2019-12-03T05:24:10Z,22,35
60,2020-10-02T11:42:41Z,Shipped,47,159.58,31.23,2020-07-10T02:17:35Z,35,6
61,2020-01-03T08:38:46Z,Shipped,40,996.61,75.5,2020-01-31T14:45:07Z,24,38
62,2020-08-31T12:49:18Z,Shipped,1,205.59,70.93,2019-11-12T17:32:18Z,1,28
63,2020-09-20T04:14:16Z,In progress,38,112.74,30.76,2020-07-17T05:25:13Z,30,42
64,2020-08-21T08:22:33Z,In progress,100,389.36,34.46,2020-06-13T20:14:53Z,15,27
65,2019-12-17T12:39:04Z,In progress,76,420.45,36.17,2019-12-18T20:50:37Z,18,50
66,2020-01-10T14:28:23Z,Shipped,98,257.73,76.96,2020-05-04T05:20:26Z,34,27
67,2020-07-24T15:30:13Z,Shipped,20,817.92,63.27,2020-01-09T19:45:12Z,19,43
68,2020-07-14T17:30:54Z,Delivered,14,460.7,15.07,2019-10-30T23:32:06Z,31,50
69,2020-08-10T03:40:01Z,Shipped,69,466.02,49.23,2020-10-17T03:13:31Z,1,29
70,2020-01-25T23:22:05Z,In progress,60,643.5,47.18,2020-06-06T13:31:34Z,33,18
